,0
10.076506302670843,250
10.566133875368166,251
13.432843737486401,252
10.301433194944266,253
21.5869030424816,254
9.804566434775484,255
6.646477643849056,256
10.825972848507154,257
11.96156127055004,258
11.41423915647332,259
11.330955499915579,260
10.80044324577874,261
10.201815902169617,262
10.605909248495367,263
9.067744574305324,264
13.724593309335914,265
15.293876191357862,266
12.002691774120889,267
12.365612410286863,268
11.822967896674937,269
11.468046855267279,270
10.079620892626094,271
11.56871261673098,272
10.818321682069891,273
10.161511070713779,274
10.584855382208403,275
10.602103246332282,276
11.056127582208827,277
11.478779354800594,278
7.952432590523667,279
8.957066517835534,280
12.44213332626663,281
13.214154801144335,282
12.276438443869253,283
10.41268660340929,284
9.404663616304365,285
9.869931513293896,286
9.137300389656497,287
11.86671948652372,288
14.063520028222449,289
10.373780128044114,290
8.712005740072732,291
10.229857312737565,292
12.091840692154227,293
12.071055575853194,294
12.805505684364851,295
12.066575588207778,296
8.195180165476469,297
9.879619381410338,298
10.910306583905749,299
13.660543413022788,300
13.519764256064938,301
12.109571815722799,302
10.80031084198881,303
11.025965005686553,304
12.511081832491328,305
14.093358071931148,306
13.355392904908777,307
12.193054725490162,308
9.307584520375677,309
10.599781518145058,310
11.21917624886628,311
13.166487723553718,312
13.234040554355987,313
12.468390955139428,314
10.13240813305003,315
9.745171904329956,316
10.109371422573147,317
12.247835659616488,318
13.30615768729852,319
12.301249375457097,320
10.408017145613478,321
11.154769114256803,322
10.955068707192128,323
12.706812769568879,324
12.919828871699629,325
12.079110793673095,326
9.78134000631054,327
